Waktu,Yaw_IMU,Sensor_1,Sensor_2,Sensor_3,Sensor_4,Sensor_5,Sensor_6,Sensor_7,Sensor_8
04:51:33.401,0.0,16.1,86.3,44.3,16.7,23.2,36.1,38.0,13.7
04:51:33.619,-2.9,16.1,86.7,42.9,16.7,23.2,36.1,40.3,12.3
04:51:33.842,-6.2,62.6,86.6,38.5,15.7,22.8,35.5,40.1,12.3
04:51:34.068,-8.7,69.5,86.6,38.5,15.7,52.7,35.5,41.5,12.3
04:51:34.301,-12.1,68.7,74.3,43.9,15.7,45.9,35.6,40.8,12.3
04:51:34.519,-15.5,39.1,58.7,43.1,15.7,56.9,35.5,41.0,12.3
04:51:34.739,-18.2,37.7,74.1,44.5,16.7,40.3,36.1,16.3,12.3
04:51:34.989,-21.5,36.8,74.0,0.0,16.4,38.0,36.1,17.0,13.4
04:51:35.204,-26.0,37.3,73.5,63.5,16.1,36.8,37.0,15.0,13.0
04:51:35.419,-29.3,36.8,38.8,17.0,17.0,37.0,36.3,15.7,14.0
04:51:35.639,-33.1,87.5,39.5,16.4,19.0,36.8,36.5,14.7,15.1
04:51:35.860,-36.9,86.9,46.2,16.7,49.7,36.4,37.9,13.7,16.1
04:51:36.087,-40.4,86.4,44.3,17.0,21.8,36.1,38.2,14.0,16.4
04:51:36.303,-44.4,86.7,44.8,16.1,22.8,36.1,39.3,12.6,17.1
04:51:36.526,-47.6,75.0,45.2,16.1,50.2,35.6,39.5,13.0,66.9
04:51:36.754,-51.7,74.4,44.8,16.4,73.8,36.3,41.9,13.0,69.1
04:51:36.978,-56.0,74.2,44.3,16.4,43.7,36.3,41.2,13.0,39.5
04:51:37.202,-59.2,73.7,46.2,16.1,77.6,35.6,41.4,13.0,38.6
04:51:37.423,-63.5,73.1,60.7,16.1,39.0,35.6,16.4,12.6,37.7
04:51:37.665,-66.9,41.2,0.0,17.0,37.8,36.1,16.1,14.0,37.7
04:51:37.885,-71.2,38.4,18.3,16.7,37.1,37.1,15.4,13.3,37.7
04:51:38.104,-75.5,38.7,17.4,17.3,37.4,36.8,14.4,14.3,87.4
04:51:38.322,-79.2,40.7,16.7,17.0,36.4,36.6,13.4,15.4,36.5
04:51:38.545,-83.0,39.4,16.1,19.9,36.2,36.8,14.0,16.0,86.8
04:51:38.767,-87.0,38.9,16.1,23.4,36.2,39.1,12.7,16.7,36.7
04:51:38.988,-91.4,38.9,16.4,22.2,36.0,38.7,13.0,61.9,75.4
04:51:39.212,-96.7,39.4,16.4,49.5,36.0,40.5,13.0,68.4,31.6
04:51:39.438,-100.9,43.9,16.4,43.5,36.0,41.9,13.0,70.2,74.2
04:51:39.666,-105.6,44.9,16.4,59.2,36.0,42.2,13.0,38.0,73.6
04:51:39.880,-108.4,46.3,16.4,40.6,36.0,16.4,13.0,37.1,73.5
04:51:40.110,-112.5,18.7,16.1,39.0,36.9,16.1,12.7,39.2,73.1
04:51:40.316,-116.1,16.8,17.0,38.3,36.2,15.1,13.7,36.6,41.4
04:51:40.538,-119.6,16.1,16.7,38.1,37.6,14.1,13.4,87.8,39.1
04:51:40.756,-123.3,16.8,17.4,36.2,36.9,13.4,14.4,37.1,40.7
04:51:40.985,-126.6,17.1,157.5,36.4,37.6,13.7,15.4,87.1,39.8
04:51:41.231,-130.7,16.1,22.5,36.0,37.8,12.8,16.1,86.6,39.3
04:51:41.442,-134.8,16.4,92.1,36.2,39.4,13.0,16.4,86.8,39.8
04:51:41.671,-138.1,16.4,255.0,36.2,39.7,13.0,68.9,86.8,40.7
04:51:41.896,-142.2,16.4,57.4,35.7,41.5,13.4,68.9,74.4,43.4
04:51:42.117,-145.7,16.4,44.8,35.7,41.3,13.4,37.7,30.9,44.0
04:51:42.339,-149.7,16.4,75.5,36.2,17.0,13.0,36.8,73.8,45.4
04:51:42.567,-153.5,16.1,40.4,36.2,16.4,13.0,37.9,73.7,19.0
04:51:42.781,-157.0,16.1,39.2,36.0,16.1,12.8,37.9,73.7,17.1
04:51:42.997,-161.0,16.8,36.9,36.4,15.1,13.7,37.5,39.4,17.4
04:51:43.219,-164.8,16.4,36.7,36.2,14.4,13.4,87.7,40.5,16.7
04:51:43.439,-168.9,18.4,36.9,38.0,13.3,14.4,86.7,39.2,16.1
04:51:43.659,-173.3,20.3,36.0,38.3,13.7,15.1,86.6,39.2,16.1
04:51:43.881,-176.9,44.9,36.2,38.5,12.7,16.1,86.6,44.4,16.4
04:51:44.103,-181.2,22.6,36.2,39.7,12.6,16.4,30.6,38.7,16.4
04:51:44.322,-185.4,88.7,35.7,40.4,13.0,68.8,30.6,46.3,16.4
04:51:44.544,-187.8,42.6,35.7,41.7,13.1,63.3,30.6,45.4,16.4
04:51:44.765,-191.9,43.5,35.7,41.5,13.0,38.0,30.6,47.3,16.4
04:51:45.006,-194.8,38.9,35.7,16.7,12.7,37.1,73.0,0.0,16.1
