Waktu,Sudut_Servo,Sensor_1,Sensor_2,Sensor_3,Sensor_4,Sensor_5,Sensor_6,Sensor_7,Sensor_8
23:28:58.495,12.2,50.8,71.7,90.0,77.3,29.5,28.1,56.8,83.6
23:28:58.706,16.0,50.5,71.7,90.0,79.5,30.6,28.1,56.8,83.5
23:28:58.918,19.9,51.4,71.7,89.2,98.1,31.6,28.4,46.4,83.5
23:28:59.131,23.7,51.1,72.1,89.2,98.1,31.4,28.3,56.5,83.5
23:28:59.342,27.5,54.1,72.5,89.3,98.1,36.3,27.8,46.0,58.0
23:28:59.556,31.3,62.4,72.6,89.4,98.2,37.2,27.8,45.2,58.7
23:28:59.782,35.2,61.5,73.1,89.9,98.3,37.0,27.8,58.2,56.7
23:28:59.985,39.0,61.7,56.8,107.1,98.4,38.9,28.6,30.2,56.6
23:29:00.204,42.8,62.2,52.8,74.7,90.6,43.4,28.4,29.1,56.4
23:29:00.409,46.6,62.6,51.4,73.7,89.7,60.5,28.4,28.5,55.9
23:29:00.612,50.4,70.5,50.9,73.6,89.1,60.7,28.9,30.2,56.3
23:29:00.823,54.2,70.3,51.2,72.9,88.6,61.2,28.7,28.8,55.8
23:29:01.036,58.0,79.4,51.2,72.4,89.0,61.4,29.2,28.8,56.6
23:29:01.245,61.8,76.9,51.2,71.8,89.4,70.5,29.8,28.2,56.6
23:29:01.457,65.6,83.7,50.9,71.4,89.4,70.7,29.5,28.5,56.6
23:29:01.669,69.4,83.2,51.8,71.8,88.9,78.6,30.5,27.9,56.6
23:29:01.881,73.2,83.6,51.4,71.8,88.9,98.1,30.8,27.9,45.3
23:29:02.093,77.0,83.1,52.8,72.1,88.6,98.1,31.9,28.2,45.8
23:29:02.308,80.9,83.5,56.6,72.2,88.6,98.1,36.3,27.4,45.4
23:29:02.521,84.7,58.8,61.9,73.1,88.7,98.1,37.7,27.4,50.1
23:29:02.733,88.5,57.8,62.3,56.5,90.1,98.2,37.4,28.2,50.1
23:29:02.946,92.4,57.1,69.9,52.9,90.3,91.2,39.3,28.2,30.1
23:29:03.160,96.2,57.1,74.2,51.5,106.1,89.7,59.5,28.2,29.5
23:29:03.369,100.0,57.0,76.9,51.0,73.9,89.2,60.1,27.9,29.2
23:29:03.580,103.8,56.4,77.0,51.4,73.4,88.2,60.6,28.8,30.1
23:29:03.791,107.6,55.9,74.4,51.4,73.2,88.2,61.2,28.5,29.5
23:29:04.002,111.4,56.2,75.0,50.9,72.2,88.6,62.2,29.1,28.6
23:29:04.213,115.2,56.2,77.2,50.8,71.7,88.9,74.9,30.2,28.0
23:29:04.426,119.0,56.6,83.7,50.8,71.6,89.3,76.7,29.9,28.3
23:29:04.637,122.8,56.6,83.6,51.4,71.6,89.3,79.0,30.9,27.7
23:29:04.850,126.6,56.6,83.6,51.0,71.6,88.9,81.5,37.2,27.7
23:29:05.061,130.4,46.3,84.0,51.9,71.9,88.5,98.5,32.2,28.6
23:29:05.274,134.3,46.7,83.6,52.9,72.0,88.6,98.5,35.4,28.1
23:29:05.487,138.1,46.3,62.7,60.1,72.4,88.7,98.1,36.8,28.0
23:29:05.700,141.9,46.3,58.2,62.0,72.8,89.2,98.6,38.2,28.1
23:29:05.912,145.8,45.4,57.6,64.7,56.6,91.1,98.7,40.5,28.1
23:29:06.124,149.6,30.0,56.9,62.1,52.2,75.0,90.2,60.3,28.0
23:29:06.334,153.4,29.8,56.5,63.1,52.0,73.5,89.7,60.5,28.9
23:29:06.545,157.1,29.3,56.4,70.0,51.2,73.3,88.7,61.1,28.6
23:29:06.756,161.0,29.5,56.6,70.2,50.7,72.7,88.7,61.6,28.3
23:29:06.969,164.8,29.5,56.6,77.2,50.7,72.2,89.0,69.9,29.7
23:29:07.182,168.6,28.1,56.2,77.3,50.7,71.6,89.4,76.9,29.5
23:29:07.392,172.4,28.1,56.5,83.3,50.7,71.5,89.4,77.9,29.2
23:29:07.604,176.2,28.4,56.9,83.2,51.2,71.5,89.4,79.4,29.7
23:29:07.835,180.0,27.8,57.1,83.6,51.2,71.5,89.3,98.5,30.2
23:29:08.039,180.0,27.8,57.1,83.6,51.2,71.5,89.0,98.5,30.2
23:29:08.243,180.0,27.8,57.1,83.6,51.2,71.5,89.0,98.5,30.3
23:29:08.455,180.0,27.8,57.1,83.6,51.2,71.5,89.4,98.5,30.3
23:29:08.728,180.0,27.8,56.9,83.6,51.2,71.5,88.9,98.5,30.3
23:29:08.883,180.0,27.8,56.9,83.6,51.2,71.5,89.0,98.5,30.2
23:29:09.094,176.3,27.8,57.1,83.6,51.2,71.1,89.0,80.3,29.7
23:29:09.307,172.7,27.8,56.9,83.2,51.2,71.5,89.4,78.4,30.1
23:29:09.528,169.1,28.4,56.5,83.4,50.7,71.6,89.4,76.5,28.9
23:29:09.731,165.4,28.1,56.2,75.1,50.7,72.2,89.0,63.4,28.3
23:29:09.942,161.8,29.5,56.6,69.9,50.7,72.7,89.1,61.0,28.6
23:29:10.151,158.2,30.0,56.4,68.3,51.2,73.4,89.2,60.9,28.1
23:29:10.362,154.6,29.8,56.5,62.7,51.7,74.4,90.7,60.3,28.0
23:29:10.574,151.0,30.0,56.6,64.2,56.6,89.7,98.7,38.2,28.0
23:29:10.792,147.4,45.8,58.2,62.4,72.4,89.1,98.1,36.3,28.0
23:29:11.000,143.7,46.3,84.1,56.7,72.4,88.6,98.5,32.7,28.9
23:29:11.212,140.1,46.7,83.6,52.4,71.9,89.0,98.1,37.2,27.7
23:29:11.424,136.4,56.6,83.6,51.4,71.6,89.3,79.0,30.4,28.3
23:29:11.639,132.8,56.6,84.1,51.4,71.6,89.3,76.2,29.4,28.0
23:29:11.847,129.1,56.6,83.3,50.8,71.7,88.9,62.3,29.1,28.6
23:29:12.059,125.5,56.2,76.8,50.8,72.7,88.2,61.2,28.5,29.5
23:29:12.270,121.9,55.9,77.9,51.3,72.8,88.2,60.6,28.8,29.2
23:29:12.481,118.3,56.4,85.1,51.0,74.3,89.2,59.9,28.2,29.5
23:29:12.692,114.7,56.5,63.0,51.5,90.8,91.6,39.3,28.2,58.4
23:29:12.904,111.0,56.7,63.3,53.4,89.7,98.2,36.5,28.2,50.1
23:29:13.122,107.4,57.8,62.7,56.6,89.1,98.1,36.7,27.4,45.0
23:29:13.333,103.8,59.8,60.5,72.6,88.6,98.1,31.8,29.1,45.4
23:29:13.540,100.1,83.5,52.8,72.1,88.5,98.0,31.6,27.9,56.6
23:29:13.754,96.5,83.6,51.8,71.3,89.3,77.7,30.0,28.5,56.6
23:29:13.964,92.8,83.3,50.9,71.9,89.4,68.9,29.8,28.2,56.6
23:29:14.176,89.2,83.3,51.2,72.3,89.0,61.4,29.5,27.9,56.6
23:29:14.386,85.6,75.8,51.2,72.5,89.0,61.5,28.9,30.2,56.3
23:29:14.598,82.0,69.7,50.9,73.6,89.1,60.5,28.4,29.4,56.4
23:29:14.810,78.4,67.5,51.4,74.6,90.6,43.8,28.4,29.6,56.6
23:29:15.018,74.8,61.7,74.5,75.3,98.8,37.9,27.8,57.8,57.1
23:29:15.231,71.2,61.5,73.5,89.9,98.3,37.7,27.8,46.0,59.1
23:29:15.446,67.5,61.4,72.5,89.7,98.1,36.3,27.8,46.4,84.0
23:29:15.662,63.8,52.4,72.1,89.2,98.1,31.4,28.3,46.4,83.5
23:29:15.871,60.2,51.4,72.1,89.5,80.8,30.6,28.1,56.8,83.2
23:29:16.083,56.6,50.9,71.7,89.5,75.9,30.3,28.7,56.4,83.7
23:29:16.295,52.9,50.9,72.3,89.2,62.8,29.3,28.3,56.4,77.2
23:29:16.505,49.3,50.4,72.8,88.8,61.3,29.0,29.2,56.4,70.2
23:29:16.716,45.7,50.9,73.5,88.9,61.5,28.4,28.9,56.1,67.9
23:29:16.926,42.1,51.4,74.1,89.9,60.4,28.4,30.0,56.2,62.5
23:29:17.138,38.5,51.9,130.9,98.1,38.5,27.8,30.3,57.4,61.9
23:29:17.350,34.8,54.3,102.6,98.4,37.8,27.8,47.8,57.9,61.4
23:29:17.565,31.2,56.7,90.2,98.4,38.0,27.8,45.6,59.5,61.8
23:29:17.774,27.5,72.1,89.2,98.3,31.0,28.7,45.6,83.8,51.5
23:29:17.987,23.9,72.1,89.5,98.2,30.7,27.5,45.2,83.8,51.3
23:29:18.198,20.3,71.8,90.0,77.8,29.9,28.1,56.8,83.4,50.5
23:29:18.413,16.6,71.8,90.0,70.2,29.7,28.7,56.8,83.9,50.8
23:29:18.623,13.0,72.4,89.6,62.8,29.1,28.4,56.0,76.0,50.8
23:29:18.835,9.4,73.0,89.2,60.8,29.4,29.8,56.5,75.4,51.3
23:29:19.044,5.8,74.0,90.2,60.3,28.0,28.7,56.6,75.0,51.5
23:29:19.255,2.2,91.5,98.5,38.7,28.3,29.8,56.8,71.4,52.5
23:29:19.470,0.0,89.6,98.9,38.0,28.3,45.2,57.5,70.5,53.9
23:29:19.681,0.0,89.5,98.4,37.5,28.2,45.2,57.5,70.5,56.5
23:29:19.894,0.0,89.5,98.4,37.5,28.3,45.3,57.5,70.5,56.5
23:29:20.107,0.0,89.5,98.4,37.5,28.3,45.2,57.5,63.8,54.7
23:29:20.318,0.0,89.5,98.4,37.5,28.3,45.2,57.5,70.9,56.4
23:29:20.539,0.0,89.5,98.4,37.5,28.3,45.2,57.5,63.0,53.9
23:29:20.754,3.8,89.5,98.4,37.6,28.3,45.2,57.5,63.0,53.0
23:29:20.953,7.6,89.6,98.9,38.5,28.3,29.8,56.8,74.9,52.0
23:29:21.164,11.4,90.6,98.5,39.2,28.3,30.1,56.6,75.8,51.0
23:29:21.375,15.2,74.6,91.2,60.3,28.0,29.0,56.2,75.9,50.9
23:29:21.587,19.0,73.5,89.7,60.8,28.6,29.3,55.7,76.4,50.4
23:29:21.799,22.8,72.4,89.6,63.2,29.1,28.4,56.0,83.9,50.8
23:29:22.012,26.6,71.9,89.6,70.2,30.2,27.8,56.8,83.9,50.4
23:29:22.222,30.4,71.8,90.0,77.3,29.9,28.1,45.2,83.4,51.3
23:29:22.431,34.2,71.8,89.5,80.1,36.8,27.5,45.6,83.8,51.8
23:29:22.645,38.0,71.7,89.6,98.3,31.0,28.7,45.6,83.8,52.8
23:29:22.858,41.9,72.2,89.2,98.3,37.5,27.8,45.6,58.9,62.3
23:29:23.069,45.7,56.7,90.3,98.4,37.3,27.8,44.4,57.4,64.1
23:29:23.282,49.5,54.3,91.2,98.9,38.0,27.8,29.7,56.4,69.0
23:29:23.493,53.3,52.4,130.9,90.4,60.0,28.4,29.5,56.7,69.6
23:29:23.704,57.1,51.4,74.4,89.5,60.5,28.4,28.9,56.1,69.7
23:29:23.915,60.9,50.9,73.4,88.9,62.1,29.0,29.2,56.4,75.9
23:29:24.126,64.7,50.9,72.8,89.2,61.8,30.0,28.4,56.4,76.9
23:29:24.339,68.5,50.4,72.3,89.6,73.7,29.8,28.7,56.4,77.9
23:29:24.550,72.4,50.9,71.7,89.5,78.6,30.1,28.1,56.8,83.6
23:29:24.763,76.2,50.5,71.7,89.6,98.1,31.6,28.3,46.4,83.5
23:29:24.975,80.0,51.9,72.1,89.2,98.5,31.9,28.7,46.0,59.0
23:29:25.188,83.8,62.2,72.5,89.3,98.2,36.8,27.8,45.6,57.8
23:29:25.403,87.6,61.8,73.1,89.9,98.3,38.6,27.8,58.6,56.7
23:29:25.614,91.5,61.9,73.6,92.6,98.4,39.3,28.3,29.6,56.6
23:29:25.829,95.3,62.5,52.3,74.6,91.0,60.4,28.3,29.1,56.4
23:29:26.033,99.1,63.5,51.8,73.6,89.5,61.0,28.9,29.4,56.3
23:29:26.245,102.9,68.5,51.2,72.9,88.6,61.2,28.7,28.8,56.6
23:29:26.466,106.7,71.6,51.2,72.4,89.0,61.8,29.2,28.2,56.6
23:29:26.666,110.4,76.0,51.2,71.9,89.4,68.9,30.3,28.5,56.6
23:29:26.880,114.2,83.6,51.7,71.8,89.4,76.4,30.0,28.5,56.6
23:29:27.089,118.1,83.6,51.8,71.7,88.9,80.4,31.6,27.9,45.3
23:29:27.304,121.9,83.1,52.8,71.8,88.9,98.1,31.8,29.1,45.8
23:29:27.521,125.7,83.5,56.6,72.1,89.0,98.1,36.3,27.4,45.0
23:29:27.738,129.5,58.4,63.0,56.6,89.2,98.1,37.7,27.4,50.1
23:29:28.024,133.4,57.3,70.3,55.6,89.7,98.7,38.3,28.2,58.4
23:29:28.159,137.2,56.7,69.9,52.9,90.7,90.7,40.7,28.2,29.5
23:29:28.385,141.0,57.0,74.7,51.9,74.0,89.2,60.5,28.8,29.7
23:29:28.575,144.8,56.4,75.2,51.4,73.8,88.2,60.6,28.8,30.1
23:29:28.788,148.6,55.9,75.7,51.4,72.8,88.6,61.6,28.5,28.6
23:29:28.996,152.4,56.2,77.5,50.8,72.2,89.0,62.2,29.1,28.9
23:29:29.208,156.2,56.5,84.2,50.8,71.7,88.9,74.9,30.2,28.0
23:29:29.419,160.0,56.6,83.7,50.8,71.6,89.3,77.6,29.9,28.3
23:29:29.636,163.8,56.6,83.6,51.4,71.6,89.3,79.5,36.8,27.7
23:29:29.845,167.7,56.6,83.9,51.9,71.9,88.9,98.1,33.0,27.7
23:29:30.057,171.5,46.7,83.6,52.4,72.0,89.0,98.5,32.7,28.0
23:29:30.272,175.3,46.7,84.0,64.5,71.9,88.7,98.1,36.3,28.1
