Waktu,Yaw_IMU,Sensor_1,Sensor_2,Sensor_3,Sensor_4,Sensor_5,Sensor_6,Sensor_7,Sensor_8
17:14:57.531,0.0,49.5,49.9,43.3,39.4,37.3,20.9,19.2,49.8
17:14:57.750,-3.2,49.1,48.5,45.5,38.0,37.7,20.0,20.2,49.2
17:14:57.975,-6.1,49.7,48.9,56.6,38.2,38.0,20.6,19.9,49.0
17:14:58.215,-9.7,49.9,47.1,56.7,38.9,39.8,19.7,20.5,49.8
17:14:58.426,-13.4,50.0,44.9,56.8,37.6,40.0,18.7,21.1,48.4
17:14:58.652,-17.4,50.7,56.7,59.0,37.1,40.7,19.0,22.7,49.2
17:14:58.879,-21.2,52.3,43.3,56.9,37.8,45.1,19.3,55.9,48.2
17:14:59.105,-24.6,51.8,44.1,56.6,37.3,43.9,19.3,54.9,48.2
17:14:59.334,-28.8,51.6,43.1,77.4,37.3,43.9,19.3,52.9,48.6
17:14:59.559,-32.6,50.0,42.2,48.9,37.8,44.5,19.3,51.7,49.2
17:14:59.783,-36.1,48.7,42.7,46.3,38.2,21.9,19.0,51.0,48.4
17:15:00.005,-40.5,48.5,43.1,39.9,37.1,21.6,18.7,50.3,49.4
17:15:00.228,-44.1,49.3,43.7,39.6,38.0,21.0,19.6,50.1,49.0
17:15:00.452,-48.1,46.9,43.3,37.8,37.8,20.3,20.6,49.4,49.2
17:15:00.705,-52.5,49.5,0.0,37.6,40.6,19.7,20.0,49.2,49.8
17:15:00.924,-56.0,48.5,56.8,37.8,39.9,18.7,20.6,49.6,50.1
17:15:01.150,-60.1,51.1,84.4,36.9,45.4,19.0,22.2,48.6,50.8
17:15:01.375,-63.9,45.1,70.8,38.0,45.1,19.0,56.5,49.4,51.5
17:15:01.666,-68.2,44.1,0.0,37.1,44.7,19.3,55.5,48.4,52.7
17:15:01.849,-72.3,43.0,75.5,37.1,44.3,19.3,53.4,48.4,51.3
17:15:02.095,-75.8,43.0,0.0,37.1,44.9,19.3,51.9,48.4,49.8
17:15:02.320,-80.7,42.6,43.3,37.6,47.4,19.0,50.7,49.0,49.2
17:15:02.546,-83.9,43.0,41.3,36.9,20.9,19.0,50.8,48.6,48.6
17:15:02.768,-87.5,43.6,38.5,37.8,21.5,18.7,50.2,49.2,49.4
17:15:02.991,-92.0,45.9,39.9,37.6,19.9,19.7,50.0,49.8,48.4
17:15:03.214,-95.7,50.2,38.1,38.5,20.2,20.3,49.8,49.9,47.4
17:15:03.439,-100.3,65.2,37.8,38.7,19.6,21.0,49.3,49.8,44.0
17:15:03.669,-104.1,58.8,37.4,39.9,19.6,21.6,48.6,50.5,43.0
17:15:03.894,-109.1,59.0,37.6,45.7,18.9,23.2,49.0,51.1,45.4
17:15:04.115,-113.4,56.7,37.1,45.3,18.9,54.7,48.4,51.5,42.3
17:15:04.343,-116.9,54.3,37.1,44.5,18.9,54.9,48.4,54.7,43.5
17:15:04.578,-121.7,43.3,37.1,45.1,19.0,51.1,48.4,256.7,43.9
17:15:04.801,-125.5,40.7,37.1,23.0,18.9,50.7,49.1,49.9,41.8
17:15:05.025,-129.7,40.0,37.6,21.5,19.9,50.1,48.6,49.8,42.3
17:15:05.247,-133.6,38.9,37.3,20.9,19.6,50.2,49.3,49.6,43.1
17:15:05.471,-138.0,38.6,38.3,20.2,19.3,50.1,49.3,49.9,43.4
17:15:05.721,-142.1,38.9,38.0,19.6,19.9,49.9,49.4,49.8,60.0
17:15:05.922,-145.5,37.5,39.9,19.9,20.5,49.3,49.7,48.0,65.7
17:15:06.147,-149.7,37.7,40.1,19.3,22.5,48.7,50.3,45.4,68.7
17:15:06.369,-153.6,36.8,44.3,19.3,56.7,49.1,51.0,61.2,56.8
17:15:06.592,-156.9,36.8,44.3,18.3,56.5,48.5,51.7,43.4,56.5
17:15:06.818,-161.9,38.0,45.3,18.6,55.0,48.1,53.4,42.8,56.7
17:15:07.052,-166.1,37.5,44.9,18.6,52.6,48.1,50.7,42.8,54.6
17:15:07.274,-169.6,37.9,45.5,18.3,52.2,48.5,49.7,42.8,41.1
17:15:07.496,-173.3,36.8,22.5,19.2,50.7,49.5,49.5,42.8,47.0
17:15:07.716,-175.7,37.2,21.8,19.3,50.0,48.7,48.8,43.8,39.3
17:15:07.942,-180.4,38.6,21.2,19.9,49.7,49.7,47.9,46.0,38.6
17:15:08.160,-184.1,37.9,20.6,19.6,49.5,49.3,46.0,47.8,38.8
17:15:08.403,-187.6,38.2,19.9,20.5,49.8,50.1,48.6,0.0,37.4
17:15:08.628,-191.9,41.0,19.3,20.9,49.7,50.2,43.0,85.5,37.6
17:15:08.878,-195.8,44.2,19.6,22.8,48.7,50.1,50.4,0.0,37.2
17:15:09.120,-199.8,45.3,19.6,56.3,49.5,51.3,43.6,0.0,36.7
17:15:09.350,-203.9,44.4,18.6,54.8,48.5,51.9,44.4,124.5,36.7
17:15:09.609,-209.2,44.1,18.6,55.0,48.5,55.8,43.0,0.0,36.7
17:15:09.850,-214.2,44.7,18.6,52.4,48.5,50.6,42.5,0.0,37.2
17:15:10.070,-218.7,21.6,19.6,50.8,49.1,49.9,42.5,40.3,37.6
17:15:10.290,-223.2,20.9,19.3,50.5,48.7,49.7,43.0,38.7,37.4
17:15:10.513,-226.6,20.3,20.2,49.8,49.3,49.1,43.6,38.9,38.3
17:15:10.736,-230.3,19.7,19.9,49.3,49.8,50.2,45.4,38.7,38.6
17:15:10.960,-233.7,19.0,20.5,49.1,49.7,51.1,71.6,37.7,38.8
17:15:11.184,-238.5,19.3,21.2,48.9,49.8,44.7,57.4,37.5,39.5
17:15:11.410,-243.0,19.7,56.5,48.9,50.5,43.7,56.9,37.0,44.8
17:15:11.636,-246.4,18.7,56.7,48.3,52.6,42.6,68.0,38.2,44.0
17:15:11.862,-249.5,18.7,55.2,48.3,53.3,43.5,50.0,37.7,45.4
17:15:12.096,-252.6,18.7,54.5,48.3,51.4,44.3,83.7,37.7,44.2
17:15:12.312,-256.1,18.7,52.4,48.3,49.8,42.8,40.7,37.7,46.2
17:15:12.535,-259.3,18.7,51.3,49.7,50.0,43.2,42.5,37.0,21.9
17:15:12.756,-262.6,19.7,50.6,48.9,49.8,44.3,38.8,37.5,21.2
17:15:12.988,-267.3,19.3,49.9,49.5,48.9,43.0,38.6,37.7,20.6
17:15:13.215,-270.9,20.0,49.7,49.5,47.9,44.1,38.4,38.7,19.9
17:15:13.436,-275.4,20.9,49.1,50.2,60.4,44.3,38.1,38.9,19.3
17:15:13.650,-280.0,21.3,48.9,50.0,53.1,58.7,38.8,39.6,19.6
17:15:13.875,-283.0,21.9,49.7,50.7,61.3,57.0,37.4,45.0,18.7
17:15:14.159,-286.9,56.7,48.3,51.4,42.6,69.4,37.0,44.6,18.6
17:15:14.338,-290.6,53.1,48.7,51.7,43.5,45.7,37.0,44.2,18.6
17:15:14.564,-295.1,52.8,48.7,59.2,44.7,57.9,37.0,44.8,18.7
17:15:14.777,-299.3,51.6,48.7,49.5,42.9,41.9,37.0,45.4,18.6
17:15:15.001,-302.7,50.4,48.3,48.9,42.9,42.6,37.4,23.0,19.6
17:15:15.225,-307.9,49.7,49.7,48.7,43.9,40.0,37.2,21.5,19.3
17:15:15.448,-311.9,49.9,48.9,49.5,43.1,39.3,37.7,20.8,19.9
17:15:15.673,-316.9,49.7,49.1,48.9,68.2,38.0,37.9,20.2,20.6
17:15:15.899,-320.9,49.1,50.2,47.9,83.4,37.3,38.6,19.6,21.2
17:15:16.127,-325.5,48.5,50.9,45.3,80.7,38.0,39.7,19.9,56.9
17:15:16.354,-330.5,48.7,51.2,45.5,57.5,37.0,45.0,18.9,56.6
17:15:16.609,-335.2,48.3,65.2,43.7,0.0,37.0,43.8,18.9,54.2
17:15:16.828,-340.3,48.3,59.5,42.6,43.3,36.6,44.8,18.9,51.7
17:15:17.065,-344.7,48.3,257.7,42.6,56.6,37.0,22.5,18.9,50.5
17:15:17.291,-349.3,48.7,49.7,42.2,40.8,37.0,22.2,18.6,50.1
17:15:17.549,-353.6,48.9,49.5,43.1,39.2,38.0,21.6,19.6,50.0
17:15:17.735,-357.7,49.5,49.9,43.7,38.5,37.7,20.0,19.2,49.2
17:15:17.956,-361.5,50.0,49.7,44.3,38.7,38.0,20.3,19.9,49.0
17:15:18.181,-366.7,49.9,62.8,66.1,38.9,38.2,19.6,21.5,49.8
17:15:18.415,-370.9,50.5,43.1,72.5,37.6,40.5,18.7,22.1,48.4
17:15:18.643,-375.9,50.4,56.5,58.1,37.1,44.7,19.0,56.5,49.2
17:15:18.865,-381.1,53.8,43.1,58.6,37.8,43.9,19.3,55.4,48.2
17:15:19.098,-386.1,51.1,42.7,56.6,37.3,44.3,19.3,55.6,48.2
17:15:19.315,-390.7,50.4,42.2,56.5,37.8,44.5,19.3,52.2,49.2
17:15:19.547,-394.6,48.9,42.2,40.6,37.1,22.2,19.0,51.0,48.4
17:15:19.770,-398.7,48.7,42.7,39.4,37.6,21.6,18.7,49.8,49.0
17:15:19.991,-402.1,47.7,45.3,39.2,38.9,20.0,19.6,49.6,49.6
17:15:20.210,-407.4,46.7,49.7,38.5,39.2,19.3,19.9,49.8,49.8
17:15:20.465,-411.2,50.0,0.0,38.7,39.9,19.7,20.9,49.2,50.5
