Waktu,Sudut_Servo,Sensor_1,Sensor_2,Sensor_3,Sensor_4,Sensor_5,Sensor_6,Sensor_7,Sensor_8
18:47:40.837,12.1,37.7,29.2,31.0,50.1,43.8,43.8,70.1,102.2
18:47:41.043,15.9,39.8,29.7,30.4,49.3,45.2,43.8,70.0,102.1
18:47:41.247,19.6,49.7,29.4,29.4,45.7,44.8,44.8,67.2,102.0
18:47:41.452,23.3,49.9,29.2,29.7,44.6,51.9,45.2,67.7,101.5
18:47:41.660,27.0,50.0,30.2,29.1,45.9,56.7,45.8,68.1,101.5
18:47:41.870,30.7,82.3,31.3,28.6,47.5,64.1,44.6,67.5,101.6
18:47:42.079,34.5,94.6,34.4,28.6,43.2,65.8,47.4,67.6,101.3
18:47:42.291,38.2,113.7,34.1,28.8,42.9,65.1,53.3,66.4,101.4
18:47:42.503,42.1,113.8,36.4,29.4,43.4,67.5,51.5,46.0,74.2
18:47:42.712,45.9,113.8,38.7,29.4,45.2,66.6,53.6,44.2,70.0
18:47:42.922,49.6,112.6,41.5,29.1,32.0,67.6,56.7,44.6,70.2
18:47:43.129,53.4,103.2,48.5,29.1,30.4,49.9,57.5,45.0,68.7
18:47:43.337,57.2,102.6,49.1,28.8,30.2,45.2,64.7,44.6,70.2
18:47:43.544,60.9,102.1,49.7,29.4,29.7,43.8,62.2,44.2,67.9
18:47:43.752,64.6,101.2,49.9,29.6,29.9,43.2,65.4,45.6,68.3
18:47:43.960,68.4,101.2,56.5,29.4,29.4,43.2,60.8,44.4,67.8
18:47:44.169,72.1,101.2,96.6,31.7,28.8,43.2,61.2,45.0,66.9
18:47:44.381,75.9,102.1,113.8,34.9,29.1,44.7,66.6,57.7,66.9
18:47:44.592,79.7,101.7,114.2,34.6,29.1,36.3,66.1,57.7,49.8
18:47:44.804,83.5,101.5,113.4,36.2,29.1,43.4,67.4,56.4,45.4
18:47:45.014,87.3,72.9,113.9,37.5,29.7,33.5,67.4,66.4,43.9
18:47:45.224,91.1,70.9,112.2,38.9,28.8,31.1,68.0,61.7,44.4
18:47:45.436,94.9,70.2,114.0,47.7,29.4,30.8,49.8,59.6,44.3
18:47:45.642,98.6,69.6,104.7,48.7,29.9,29.8,46.6,59.5,44.0
18:47:45.850,102.4,70.3,102.9,49.6,29.7,29.5,45.6,59.3,43.5
18:47:46.056,106.1,67.9,102.5,50.3,29.4,29.0,44.2,62.7,45.0
18:47:46.264,109.8,67.9,101.6,51.0,29.7,29.3,43.2,62.7,44.1
