Waktu,Yaw_IMU,Sensor_1,Sensor_2,Sensor_3,Sensor_4,Sensor_5,Sensor_6,Sensor_7,Sensor_8
17:11:00.009,0.0,49.1,56.8,43.1,38.5,37.7,44.8,18.9,52.0
17:11:00.227,-2.8,48.7,63.0,42.2,40.3,37.7,44.4,18.9,51.3
17:11:00.462,-6.0,48.7,50.2,42.2,42.6,37.0,22.8,18.9,50.3
17:11:00.674,-9.2,48.3,49.7,42.2,36.2,37.0,21.3,18.6,50.5
17:11:00.914,-12.0,49.3,49.1,42.6,36.4,37.5,21.6,19.6,49.8
17:11:01.124,-15.3,48.9,49.9,43.7,38.9,37.2,20.0,19.2,49.2
17:11:01.351,-18.2,49.1,49.3,45.9,36.6,38.2,20.3,20.2,49.4
17:11:01.573,-22.3,49.7,49.7,57.5,37.8,38.0,19.7,20.8,49.4
17:11:01.796,-25.9,49.9,48.3,58.0,37.6,38.7,18.7,21.5,48.8
17:11:02.019,-29.0,50.9,56.5,57.6,37.1,40.5,19.0,22.1,49.2
17:11:02.246,-32.9,51.6,43.3,69.5,37.8,41.2,19.0,56.6,48.2
17:11:02.472,-36.6,51.4,44.9,36.2,37.3,43.7,19.3,55.4,48.2
17:11:02.697,-39.9,53.0,43.1,37.3,36.9,44.3,19.3,55.3,48.2
17:11:02.924,-43.7,51.1,44.3,72.5,36.9,43.9,19.3,52.3,48.2
17:11:03.159,-47.4,49.9,42.9,122.9,37.3,23.4,19.3,51.7,48.2
17:11:03.377,-50.8,48.5,44.3,41.0,37.8,21.9,19.0,51.0,49.2
17:11:03.604,-54.9,50.0,43.9,39.9,37.1,21.6,18.7,50.3,48.4
17:11:03.827,-58.7,49.9,43.5,39.7,37.6,20.6,19.7,49.6,49.4
17:11:04.072,-62.4,47.7,0.0,39.9,39.4,20.0,19.3,49.4,49.6
17:11:04.323,-66.6,48.5,0.0,37.6,39.2,19.3,20.0,49.3,49.8
17:11:04.542,-70.3,48.5,83.5,38.2,38.9,19.7,20.9,49.0,50.0
17:11:04.805,-73.8,50.7,0.0,37.3,44.1,19.0,21.2,49.0,50.6
17:11:05.034,-77.5,42.8,0.0,37.6,45.5,19.0,56.5,48.4,51.3
17:11:05.283,-80.5,43.6,0.0,37.1,45.1,19.3,56.4,48.4,52.9
17:11:05.515,-85.5,43.0,56.7,37.1,44.7,19.3,54.5,48.4,56.6
17:11:05.743,-88.5,42.6,86.9,37.1,44.3,19.3,52.4,48.4,63.3
17:11:05.971,-91.7,42.6,124.9,37.1,44.9,19.3,51.7,48.4,50.0
17:11:06.198,-95.7,42.6,41.0,37.6,22.8,19.0,51.0,48.4,49.8
17:11:06.424,-99.1,43.0,39.9,38.0,22.1,19.0,50.4,49.0,50.1
17:11:06.642,-102.4,44.0,40.1,37.3,20.5,19.7,49.7,49.6,50.0
17:11:06.863,-106.1,43.3,39.9,38.7,20.9,19.7,49.5,48.8,50.3
17:11:07.087,-109.1,57.0,38.0,38.0,20.2,20.3,49.3,49.4,50.3
17:11:07.324,-112.7,57.6,38.3,38.3,19.3,21.0,49.6,49.6,44.4
17:11:07.553,-116.4,66.3,37.3,40.6,19.6,21.6,48.7,50.3,43.0
17:11:07.781,-119.3,0.0,37.6,40.8,19.9,22.2,49.5,50.5,47.4
17:11:08.004,-123.8,53.3,37.1,45.7,18.9,23.7,48.4,52.0,43.2
17:11:08.229,-127.7,51.1,36.6,43.9,18.9,54.5,48.5,52.4,44.0
17:11:08.456,-130.9,52.4,36.7,44.5,19.0,53.0,48.5,56.4,43.0
17:11:08.692,-135.0,123.3,36.7,45.1,19.0,52.3,48.4,51.2,43.0
17:11:08.914,-138.8,40.3,37.1,23.9,18.9,51.1,48.5,50.6,43.0
17:11:09.132,-142.5,40.0,37.1,22.5,19.9,50.0,49.5,49.6,41.8
17:11:09.356,-145.9,39.3,38.0,20.9,19.6,50.2,48.7,50.3,42.7
17:11:09.579,-148.8,39.1,37.3,21.2,19.3,50.1,49.6,49.8,44.6
17:11:09.803,-152.6,37.7,38.7,20.6,20.2,49.9,49.8,50.1,56.6
17:11:10.029,-155.8,37.5,38.5,19.9,20.9,49.3,49.5,59.1,69.9
17:11:10.254,-159.0,38.2,38.7,18.9,20.5,48.7,49.6,51.8,56.7
17:11:10.478,-162.7,37.2,44.7,19.3,56.8,49.5,50.4,43.6,53.2
17:11:10.706,-166.3,36.8,44.7,19.6,56.5,48.5,51.0,48.1,52.0
17:11:10.931,-169.1,38.0,44.7,18.3,56.4,48.5,52.1,44.2,53.6
17:11:11.155,-172.5,37.5,43.9,18.6,55.0,48.5,52.4,42.8,56.9
17:11:11.381,-176.2,37.0,44.9,18.6,52.1,48.9,51.4,42.3,51.7
17:11:11.604,-179.4,37.5,44.1,18.6,52.2,48.5,50.3,42.3,52.0
17:11:11.826,-183.2,37.9,46.5,18.3,50.7,48.5,50.2,42.4,40.4
17:11:12.054,-186.7,37.2,22.8,19.2,50.0,48.5,50.0,42.8,40.2
17:11:12.274,-190.7,37.2,20.9,19.3,50.2,48.7,49.5,44.2,39.9
17:11:12.515,-194.0,37.5,20.2,19.9,49.5,49.7,49.8,0.0,38.1
17:11:12.769,-197.1,38.4,19.6,19.6,49.9,49.3,49.6,0.0,37.9
17:11:13.001,-201.8,38.6,19.9,20.2,49.7,49.5,50.5,50.1,37.4
17:11:13.230,-205.3,41.0,19.3,20.9,48.7,49.7,44.6,0.0,37.2
17:11:13.486,-209.2,44.2,19.3,22.8,48.5,50.4,43.2,0.0,36.7
17:11:13.708,-212.9,45.7,19.6,56.6,48.5,50.2,47.7,80.7,36.7
17:11:13.936,-216.7,44.8,18.6,54.8,48.5,51.8,43.4,81.5,36.7
17:11:14.161,-221.0,44.5,18.6,55.0,48.9,50.7,43.8,84.5,37.9
17:11:14.423,-225.1,44.1,18.6,52.1,48.9,56.6,43.2,0.0,36.7
17:11:14.629,-228.6,22.2,18.6,51.4,48.5,49.9,43.2,40.0,36.7
17:11:14.856,-232.0,21.6,19.6,50.7,48.5,49.7,43.8,38.9,37.2
17:11:15.076,-235.5,21.0,19.3,50.0,49.5,50.1,42.1,38.7,38.6
17:11:15.292,-238.8,20.3,20.2,49.9,48.7,50.4,43.0,38.9,37.4
17:11:15.517,-241.1,19.7,19.9,49.3,49.7,49.9,44.0,39.6,37.6
17:11:15.740,-244.2,20.0,19.6,49.1,49.9,50.2,56.9,37.3,39.0
17:11:15.962,-247.2,19.3,21.5,48.9,50.0,51.1,59.6,38.4,38.8
17:11:16.185,-251.1,19.3,21.2,48.9,50.2,44.2,49.8,37.0,45.6
17:11:16.411,-254.5,19.7,57.0,48.7,50.9,51.1,69.3,38.2,44.8
17:11:16.643,-258.0,18.7,56.7,48.3,51.5,43.0,56.7,37.7,44.8
17:11:16.867,-262.0,18.7,55.7,48.7,52.2,42.1,57.0,37.3,44.0
17:11:17.090,-265.2,18.7,55.0,49.1,51.2,43.2,44.6,37.3,45.0
17:11:17.314,-268.4,18.7,52.6,49.1,51.1,42.8,58.9,37.3,44.2
17:11:17.538,-271.8,18.7,51.9,48.7,50.4,42.3,42.3,37.7,46.6
17:11:17.770,-275.0,18.7,50.7,48.3,50.2,42.4,57.4,38.2,21.9
17:11:18.008,-277.8,19.6,50.6,48.7,49.7,43.2,38.8,37.0,20.9
17:11:18.215,-280.7,19.3,50.4,48.9,49.5,43.4,39.5,38.0,20.3
17:11:18.428,-284.1,20.3,49.7,48.9,49.9,43.4,38.8,37.7,19.6
17:11:18.650,-287.0,20.0,49.5,49.1,49.9,43.6,39.5,38.7,19.9
17:11:18.873,-290.4,20.6,49.9,49.7,49.7,45.1,37.7,38.4,19.3
17:11:19.106,-294.0,21.6,48.9,49.9,44.3,49.9,38.4,40.7,19.3
17:11:19.324,-296.5,22.2,48.7,50.0,43.3,66.6,37.4,45.8,19.6
17:11:19.548,-299.5,56.7,48.7,50.7,56.6,56.7,37.0,45.4,18.6
17:11:19.775,-303.3,56.6,49.5,52.2,43.5,57.3,37.0,45.0,18.7
17:11:20.003,-306.6,52.6,48.5,53.4,44.3,46.9,38.1,44.2,18.7
17:11:20.229,-310.4,52.3,48.1,56.6,42.9,58.0,38.1,45.2,18.7
17:11:20.452,-314.7,51.6,48.5,49.6,42.4,43.3,36.5,46.2,18.7
17:11:20.677,-317.8,50.4,49.1,49.5,42.4,43.0,37.0,22.7,19.6
17:11:20.900,-321.4,50.2,48.7,48.5,42.9,39.3,37.5,22.1,19.3
17:11:21.124,-324.9,50.4,48.7,49.7,44.3,39.1,38.4,21.5,19.0
17:11:21.372,-327.8,49.3,48.9,48.7,0.0,38.4,37.7,20.8,19.9
